
House_ID,Area,Bedrooms,Bathrooms,Stories,Parking,Location,Property_Type,Age,Price
1,1200,3,2,2,1,Yangon,Apartment,5,85000000
2,1500,4,3,2,2,Yangon,House,3,125000000
3,900,2,1,1,1,Mandalay,Apartment,8,55000000
4,1800,4,3,2,2,Yangon,House,2,150000000
5,1100,3,2,1,1,Mandalay,Apartment,10,70000000
6,2200,5,4,2,3,Yangon,House,1,200000000
7,800,2,1,1,0,Naypyidaw,Apartment,12,45000000
8,1300,3,2,2,1,Mandalay,House,6,90000000
9,1600,4,3,2,2,Yangon,Apartment,4,130000000
10,1000,2,2,1,1,Naypyidaw,Apartment,7,60000000
11,2500,5,4,3,3,Yangon,House,2,240000000
12,1400,3,2,2,2,Mandalay,House,5,105000000
13,950,2,1,1,0,Naypyidaw,Apartment,15,48000000
14,1700,4,3,2,2,Yangon,House,4,145000000
15,1250,3,2,1,1,Mandalay,Apartment,9,78000000
16,2000,4,3,2,3,Yangon,House,3,175000000
17,1050,2,1,1,1,Naypyidaw,Apartment,11,58000000
18,1550,3,2,2,2,Mandalay,House,7,110000000
19,1900,4,3,2,2,Yangon,Apartment,5,155000000
20,1350,3,2,1,1,Mandalay,Apartment,6,92000000
21,2800,5,4,3,4,Yangon,House,1,280000000
22,850,2,1,1,0,Naypyidaw,Apartment,14,42000000
23,1450,3,2,2,1,Mandalay,House,8,98000000
24,1750,4,3,2,2,Yangon,House,3,148000000
25,1150,3,2,1,1,Naypyidaw,Apartment,10,68000000
26,2100,4,3,2,3,Yangon,House,4,190000000
27,980,2,1,1,1,Mandalay,Apartment,13,52000000
28,1650,4,3,2,2,Yangon,Apartment,6,135000000
29,1250,3,2,1,1,Naypyidaw,House,9,82000000
30,2300,5,4,3,3,Yangon,House,2,220000000
31,1000,2,1,1,0,Mandalay,Apartment,16,50000000
32,1500,3,2,2,2,Yangon,House,5,120000000
33,1850,4,3,2,2,Yangon,Apartment,7,142000000
34,900,2,1,1,0,Naypyidaw,Apartment,18,40000000
35,1350,3,2,1,1,Mandalay,House,8,95000000
36,1950,4,3,2,3,Yangon,House,4,165000000
37,1100,3,2,1,1,Naypyidaw,Apartment,12,62000000
38,1600,4,3,2,2,Mandalay,House,6,115000000
39,2400,5,4,3,4,Yangon,House,2,230000000
40,1300,3,2,2,1,Mandalay,Apartment,9,88000000
