Area,Bedrooms,Bathrooms,Stories,Parking,Age,Total_Rooms,Area_per_Bedrooms,Location_Naypyidaw,Location_Yangon,Property_Type_House,Age_Group_New,Age_Group_Old,Area_Category_Median,Area_Category_Small,Area_Category_Very Large,Has_Parking_Yes,Price
1200,3,2,2,1,5,5,400.0,0,1,0,1,0,1,0,0,1,85000000.0
1500,4,3,2,2,3,7,375.0,0,1,1,1,0,0,0,0,1,125000000.0
900,2,1,1,1,8,3,450.0,0,0,0,0,0,0,1,0,1,55000000.0
1800,4,3,2,2,2,7,450.0,0,1,1,1,0,0,0,0,1,150000000.0
1100,3,2,1,1,10,5,366.6666666666667,0,0,0,0,0,1,0,0,1,70000000.0
2200,5,4,2,3,1,9,440.0,0,1,1,1,0,0,0,1,1,200000000.0
800,2,1,1,0,12,3,400.0,1,0,0,0,1,0,1,0,0,45000000.0
1300,3,2,2,1,6,5,433.3333333333333,0,0,1,0,0,1,0,0,1,90000000.0
1600,4,3,2,2,4,7,400.0,0,1,0,1,0,0,0,0,1,130000000.0
1000,2,2,1,1,7,4,500.0,1,0,0,0,0,1,0,0,1,60000000.0
2500,5,4,3,3,2,9,500.0,0,1,1,1,0,0,0,1,1,240000000.0
1400,3,2,2,2,5,5,466.6666666666667,0,0,1,1,0,1,0,0,1,105000000.0
950,2,1,1,0,15,3,475.0,1,0,0,0,1,0,1,0,0,48000000.0
1700,4,3,2,2,4,7,425.0,0,1,1,1,0,0,0,0,1,145000000.0
1250,3,2,1,1,9,5,416.6666666666667,0,0,0,0,0,1,0,0,1,78000000.0
2000,4,3,2,3,3,7,500.0,0,1,1,1,0,0,0,1,1,175000000.0
1050,2,1,1,1,11,3,525.0,1,0,0,0,1,1,0,0,1,58000000.0
1550,3,2,2,2,7,5,516.6666666666666,0,0,1,0,0,0,0,0,1,110000000.0
1900,4,3,2,2,5,7,475.0,0,1,0,1,0,0,0,0,1,155000000.0
1350,3,2,1,1,6,5,450.0,0,0,0,0,0,1,0,0,1,92000000.0
2800,5,4,3,4,1,9,560.0,0,1,1,1,0,0,0,1,1,280000000.0
850,2,1,1,0,14,3,425.0,1,0,0,0,1,0,1,0,0,42000000.0
1450,3,2,2,1,8,5,483.3333333333333,0,0,1,0,0,1,0,0,1,98000000.0
1750,4,3,2,2,3,7,437.5,0,1,1,1,0,0,0,0,1,148000000.0
1150,3,2,1,1,10,5,383.3333333333333,1,0,0,0,0,1,0,0,1,68000000.0
2100,4,3,2,3,4,7,525.0,0,1,1,1,0,0,0,1,1,190000000.0
980,2,1,1,1,13,3,490.0,0,0,0,0,1,0,1,0,1,52000000.0
1650,4,3,2,2,6,7,412.5,0,1,0,0,0,0,0,0,1,135000000.0
1250,3,2,1,1,9,5,416.6666666666667,1,0,1,0,0,1,0,0,1,82000000.0
2300,5,4,3,3,2,9,460.0,0,1,1,1,0,0,0,1,1,220000000.0
1000,2,1,1,0,16,3,500.0,0,0,0,0,1,1,0,0,0,50000000.0
1500,3,2,2,2,5,5,500.0,0,1,1,1,0,0,0,0,1,120000000.0
1850,4,3,2,2,7,7,462.5,0,1,0,0,0,0,0,0,1,142000000.0
900,2,1,1,0,18,3,450.0,1,0,0,0,1,0,1,0,0,40000000.0
1350,3,2,1,1,8,5,450.0,0,0,1,0,0,1,0,0,1,95000000.0
1950,4,3,2,3,4,7,487.5,0,1,1,1,0,0,0,0,1,165000000.0
1100,3,2,1,1,12,5,366.6666666666667,1,0,0,0,1,1,0,0,1,62000000.0
1600,4,3,2,2,6,7,400.0,0,0,1,0,0,0,0,0,1,115000000.0
2400,5,4,3,4,2,9,480.0,0,1,1,1,0,0,0,1,1,230000000.0
1300,3,2,2,1,9,5,433.3333333333333,0,0,0,0,0,1,0,0,1,88000000.0
